date,open,high,low,close,volume
13/8/86,0.1534,0.1562,0.1506,0.1534,213574
14/8/86,0.1618,0.1646,0.159,0.1618,47014
15/8/86,0.1576,0.159,0.1562,0.1576,48965
18/8/86,0.1534,0.1562,0.1506,0.1534,31967
19/8/86,0.1548,0.1562,0.1534,0.1548,23287
20/8/86,0.1576,0.1618,0.1534,0.1576,7739
21/8/86,0.1632,0.1674,0.159,0.1632,9983
22/8/86,0.1618,0.1646,0.159,0.1618,19601
25/8/86,0.1562,0.159,0.1534,0.1562,7088
26/8/86,0.1562,0.159,0.1534,0.1562,8969
27/8/86,0.1548,0.1562,0.1534,0.1548,28711
28/8/86,0.152,0.1562,0.1478,0.152,17572
29/8/86,0.152,0.1562,0.1478,0.152,17500
2/9/86,0.1618,0.1646,0.159,0.1618,12079
3/9/86,0.1632,0.1674,0.159,0.1632,4557
4/9/86,0.1813,0.1841,0.1785,0.1813,20398
5/9/86,0.1799,0.1841,0.1757,0.1799,24155
8/9/86,0.1771,0.1813,0.1729,0.1771,5568
9/9/86,0.1827,0.1869,0.1785,0.1827,5642
10/9/86,0.1911,0.1953,0.1869,0.1911,10562
11/9/86,0.1687,0.1729,0.1645,0.1687,20319
12/9/86,0.1701,0.1729,0.1673,0.1701,14534
15/9/86,0.1883,0.1925,0.1841,0.1883,11285
16/9/86,0.1966,0.2008,0.1924,0.1966,14172
17/9/86,0.2092,0.212,0.2064,0.2092,15333
18/9/86,0.2106,0.2148,0.2064,0.2106,3978
19/9/86,0.2106,0.2148,0.2064,0.2106,11573
22/9/86,0.2022,0.2064,0.198,0.2022,8823
23/9/86,0.1966,0.2008,0.1924,0.1966,20318
24/9/86,0.1994,0.2036,0.1952,0.1994,14824
25/9/86,0.1952,0.2008,0.1896,0.1952,18728
26/9/86,0.1938,0.198,0.1896,0.1938,8676
29/9/86,0.1952,0.198,0.1924,0.1952,5351
30/9/86,0.198,0.2036,0.1924,0.198,2169
1/10/86,0.198,0.2036,0.1924,0.198,4194
2/10/86,0.198,0.2036,0.1924,0.198,2531
3/10/86,0.1966,0.2008,0.1924,0.1966,506
6/10/86,0.1994,0.2036,0.1952,0.1994,1446
7/10/86,0.1994,0.2036,0.1952,0.1994,2242
8/10/86,0.1994,0.2036,0.1952,0.1994,2314
9/10/86,0.1994,0.2036,0.1952,0.1994,8967
10/10/86,0.1994,0.2036,0.1952,0.1994,2531
13/10/86,0.2008,0.2036,0.198,0.2008,5135
14/10/86,0.2022,0.2064,0.198,0.2022,5424
15/10/86,0.2022,0.2064,0.198,0.2022,3977
17/10/86,0.2022,0.2064,0.198,0.2022,940
20/10/86,0.2022,0.2064,0.198,0.2022,506
21/10/86,0.2064,0.2092,0.2036,0.2064,3688
22/10/86,0.2092,0.212,0.2064,0.2092,12440
23/10/86,0.212,0.2148,0.2092,0.212,8390
24/10/86,0.2287,0.2315,0.2259,0.2287,18658
27/10/86,0.2315,0.2343,0.2287,0.2315,8245
28/10/86,0.2315,0.2343,0.2287,0.2315,20395
29/10/86,0.2538,0.2566,0.251,0.2538,131836
30/10/86,0.2664,0.2678,0.265,0.2664,24304
31/10/86,0.2629,0.2643,0.2615,0.2629,22496
3/11/86,0.2552,0.2594,0.251,0.2552,15695
4/11/86,0.2482,0.251,0.2454,0.2482,22633
5/11/86,0.2468,0.251,0.2426,0.2468,12365
6/11/86,0.251,0.2538,0.2482,0.251,26322
7/11/86,0.2552,0.2594,0.251,0.2552,12368
10/11/86,0.2594,0.2622,0.2566,0.2594,28569
11/11/86,0.258,0.2594,0.2566,0.258,9908
12/11/86,0.2594,0.2622,0.2566,0.2594,4991
13/11/86,0.2566,0.2594,0.2538,0.2566,6220
14/11/86,0.2594,0.2622,0.2566,0.2594,5063
17/11/86,0.2566,0.2594,0.2538,0.2566,7739
18/11/86,0.2524,0.2566,0.2482,0.2524,12005
19/11/86,0.251,0.2538,0.2482,0.251,4122
20/11/86,0.251,0.2538,0.2482,0.251,5134
21/11/86,0.251,0.2538,0.2482,0.251,1012
24/11/86,0.251,0.2538,0.2482,0.251,2893
25/11/86,0.251,0.2538,0.2482,0.251,5857
26/11/86,0.2657,0.2671,0.2643,0.2657,18805
28/11/86,0.2761,0.2789,0.2733,0.2761,5858
1/12/86,0.2754,0.2782,0.2726,0.2754,7737
2/12/86,0.2789,0.2817,0.2761,0.2789,10269
3/12/86,0.2761,0.2789,0.2733,0.2761,4773
4/12/86,0.2789,0.2817,0.2761,0.2789,16778
5/12/86,0.2845,0.2873,0.2817,0.2845,18443
8/12/86,0.2984,0.3012,0.2956,0.2984,30733
9/12/86,0.2873,0.2901,0.2845,0.2873,51572
10/12/86,0.2873,0.2901,0.2845,0.2873,36093
11/12/86,0.2664,0.2678,0.265,0.2664,82893
12/12/86,0.2719,0.2761,0.2677,0.2719,5568
15/12/86,0.2691,0.2733,0.2649,0.2691,3182
16/12/86,0.2636,0.265,0.2622,0.2636,47520
17/12/86,0.2608,0.2622,0.2594,0.2608,35222
18/12/86,0.2636,0.265,0.2622,0.2636,10922
19/12/86,0.265,0.2678,0.2622,0.265,7017
22/12/86,0.2664,0.2706,0.2622,0.2664,20325
23/12/86,0.2761,0.2789,0.2733,0.2761,42015
24/12/86,0.2845,0.2873,0.2817,0.2845,17359
26/12/86,0.2873,0.2901,0.2845,0.2873,723
29/12/86,0.2789,0.2817,0.2761,0.2789,26541
30/12/86,0.2817,0.2845,0.2789,0.2817,6147
31/12/86,0.2887,0.2929,0.2845,0.2887,39781
2/1/87,0.2929,0.2957,0.2901,0.2929,7522
5/1/87,0.3012,0.304,0.2984,0.3012,8389
6/1/87,0.3054,0.3096,0.3012,0.3054,35074
7/1/87,0.3068,0.3096,0.304,0.3068,26760
8/1/87,0.3166,0.318,0.3152,0.3166,23002
9/1/87,0.3193,0.3235,0.3151,0.3193,21622
12/1/87,0.3319,0.3347,0.3291,0.3319,36813
13/1/87,0.3375,0.3403,0.3347,0.3375,25675
