date,open,high,low,close,volume
10/3/99,43.2917,43.3712,42.6293,43.2917,2217976
11/3/99,43.6097,43.8614,42.6559,43.5037,4107088
12/3/99,43.3447,43.3712,42.0995,42.4439,3706492
15/3/99,42.7619,43.7157,42.3115,43.6627,2699881
16/3/99,43.8481,44.2191,43.3712,44.0336,2079615
17/3/99,44.0335,44.0865,43.5831,43.7156,1680799
18/3/99,43.6627,44.59,43.6495,44.5635,2055283
19/3/99,45.1463,45.1463,43.3977,43.4242,3035360
22/3/99,43.6096,43.7156,42.8148,42.8943,2130058
23/3/99,42.6558,42.8148,41.3046,41.3841,4647058
24/3/99,41.755,42.8148,41.1192,42.7883,3580758
25/3/99,43.4507,44.3515,43.1659,44.3515,3447993
26/3/99,43.9806,44.484,43.6891,43.8746,3499879
29/3/99,44.4045,45.4908,44.1396,45.4643,2167789
30/3/99,45.4112,45.7822,44.9608,45.1463,2094364
31/3/99,45.8882,45.9412,44.3515,44.484,3500051
1/4/99,45.7822,45.8352,44.6695,45.4113,3694710
5/4/99,46.1465,47.1201,45.8617,47.0539,2415094
6/4/99,47.001,47.6633,46.6035,47.1467,3188816
7/4/99,47.5838,47.6898,45.6497,46.6565,5054523
8/4/99,46.577,47.2526,45.6232,47.0274,3371094
9/4/99,46.948,47.4249,46.8155,47.3189,2096996
12/4/99,46.2061,47.3188,46.1531,47.0009,4635020
13/4/99,47.2924,47.3984,45.9942,46.3651,4223071
14/4/99,46.9479,47.0009,44.5171,44.7754,9009679
15/4/99,44.9344,45.4577,43.3447,45.3848,7482255
16/4/99,45.2788,45.2788,43.8217,44.0601,7322614
19/4/99,44.3515,44.7224,41.5497,41.9935,8249526
20/4/99,41.808,43.2917,41.4106,42.9473,7381785
21/4/99,43.3448,45.0934,42.7619,45.0669,4637742
22/4/99,45.4908,46.4181,45.1927,46.2856,5778139
23/4/99,46.0472,47.2394,45.5703,46.895,2994667
26/4/99,47.2129,48.3256,47.0605,47.9746,2298011
27/4/99,48.3257,48.5641,46.6366,47.2394,6987213
28/4/99,46.8419,47.0009,45.4179,45.6232,3254264
29/4/99,45.4113,45.6762,44.2985,45.2523,8117097
30/4/99,45.8882,46.1267,43.9276,45.5438,6483784
3/5/99,45.4113,45.5967,44.5436,45.3053,4709547
4/5/99,45.3848,46.1002,44.3251,44.59,6540248
5/5/99,44.6165,45.9412,43.2653,45.9412,5359319
6/5/99,45.5172,45.9146,43.8481,44.272,6432141
7/5/99,44.6695,45.0404,43.7157,44.9079,6965001
10/5/99,45.1993,45.663,44.6694,45.3583,4495219
11/5/99,45.7292,46.312,45.4642,46.0736,3730738
12/5/99,46.2856,47.1864,44.9343,47.0274,5301999
13/5/99,47.3983,47.4778,45.9411,46.1531,4181439
14/5/99,45.2523,45.7822,44.9344,45.2788,5173981
17/5/99,44.8814,46.2326,44.4376,46.0935,4199583
18/5/99,46.0472,46.3121,45.3583,45.8882,3928708
19/5/99,46.0736,46.5505,45.3583,46.524,3385167
20/5/99,46.6234,46.6234,45.1728,45.2457,2542269
21/5/99,45.3848,45.5173,44.59,44.8284,4439008
24/5/99,44.9079,44.9874,43.3978,43.6892,4056732
